nome,numero
Ash,3.7
Ash,5.9
Ash,4
Ash,2.9
Atlas Cedar,4.4
Beech,3.8
Beech,4.8
Beech,3.25
Beech,3.9
Beech,3
Beech,4.5
Black Walnut,3.5
Cedar of Lebanon,5.5
Coast Redwood,2.5
Coast Redwood,4.3
Common Lime,4.7
Common Lime,3.25
Common Lime,3.65
Common Lime,3.95
Common Lime,5.6
Common Lime,6.1
Cork Oak,2.4
Eastern Hemlock,3.5
Eucalyptus,1.5
Hawthorn,1.9
Hawthorn,2
Hawthorn,1.2
Hazel,1.25
Holm Oak,3.7
Horse Chestnut,4.62
Horse Chestnut,2.6
Horse Chestnut,3.85
Horse Chestnut,3.5
Horse Chestnut,4.1
Japanese Red Cedar,1.4
Juniper,2.1
Lime,2.25
lime,2.9
Lime,1.6
London Plane,4.5
Lucombe Oak,6.15
Lucombe Oak,5
Maple,2.75
Maple,2.75
Maple,2.7
Maple,2.1
Maple,1
Monterey Pine,5.7
Pear,3.9
Pedunculate Oak,2.15
Pedunculate Oak,11.3
Pedunculate Oak,4.1
Pedunculate Oak,7
Pedunculate Oak,4
Pedunculate Oak,3.9
Pedunculate Oak,3.2
Pedunculate Oak,2.6
Pedunculate Oak,3.02
Pedunculate Oak,2.9
Pedunculate Oak,4
Pedunculate Oak,5.6
Pedunculate Oak,4.55
Pedunculate Oak,3.85
Pedunculate Oak,2.95
Pedunculate Oak,2.5
Pedunculate Oak,2.35
Pedunculate Oak,7
Pedunculate Oak,6.3
Pedunculate Oak,7.3
Pedunculate Oak,1.5
Pedunculate Oak,5.3
Pedunculate Oak,6.2
Pedunculate Oak,3.7
Pedunculate Oak,4
Pedunculate Oak,2.9
Pedunculate Oak,4.05
Pedunculate Oak,3
Pedunculate Oak,4.6
Pedunculate Oak,5.3
Pedunculate Oak,6
Pedunculate Oak,4.35
Pedunculate Oak,3.7
Pedunculate Oak,5.3
Pedunculate Oak,3.7
Pedunculate Oak,3.15
Pedunculate Oak,4
Pedunculate Oak,6.05
Pedunculate Oak,5.32
Pedunculate Oak,4
Pedunculate Oak,5
Pedunculate Oak,5.1
Pedunculate Oak,3
Pedunculate Oak,3
Pedunculate Oak,4
Persian Ironwood,2
Pin Oak,3.6
Red Oak,3.9
Sessile Oak,4.15
Silver Pendant Lime,4.1
Smooth-leaved Elm,4.25
Smooth-leaved Elm,4.5
Smooth-leaved Elm,2.82
Sweet Chestnut,4.2
Sweet Chestnut,4.6
Sweet Chestnut,6.4
Sweet Chestnut,3.35
Sweet Chestnut,5.6
Sweet Chestnut,6.1
Sweet Chestnut,6.9
Sweet Chestnut,5.25
Sweet Chestnut,5.8
Sweet Chestnut,3.9
Sycamore,2.7
Sycamore,2.5
Sycamore,2.7
Sycamore,2.5
Sycamore,7.4
Sycamore,2.52
Sycamore,3.3
Tulip Tree,6.2
Turkey Oak,3.6
Turkey Oak,5.5
unkown,3.5
Wild Cherry,2.2
Yew,4.4
Yew,2.95
Yew,3.2
Yew,1.7
